source,localclaw_url,http_status,resolver_markup_valid,amazon_destinations_before_fix
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=DDR5+64GB+2x32GB+6000+CL30&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=DDR5+64GB+2x32GB+6000+CL30&amp;tag=localclaw-20 | https://www.amazon.com/s?k=DDR5+64GB+2x32GB+6000+CL30&amp;tag=localclaw-20
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=DDR5+96GB+2x48GB+6000&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=DDR5+96GB+2x48GB+6000&amp;tag=localclaw-20 | https://www.amazon.com/s?k=DDR5+96GB+2x48GB+6000&amp;tag=localclaw-20
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=DDR5+128GB+memory+kit&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=DDR5+128GB+memory+kit&amp;tag=localclaw-20 | https://www.amazon.com/s?k=DDR5+128GB+memory+kit&amp;tag=localclaw-20
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=DDR4+64GB+2x32GB+3200&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=DDR4+64GB+2x32GB+3200&amp;tag=localclaw-20 | https://www.amazon.com/s?k=DDR4+64GB+2x32GB+3200&amp;tag=localclaw-20
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=DDR5+SO-DIMM+64GB+kit+5600&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=DDR5+SO-DIMM+64GB+kit+5600&amp;tag=localclaw-20 | https://www.amazon.com/s?k=DDR5+SO-DIMM+64GB+kit+5600&amp;tag=localclaw-20
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=DDR4+SO-DIMM+64GB+kit+3200&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=DDR4+SO-DIMM+64GB+kit+3200&amp;tag=localclaw-20 | https://www.amazon.com/s?k=DDR4+SO-DIMM+64GB+kit+3200&amp;tag=localclaw-20
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=RTX+3060+12GB&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=RTX+3060+12GB&amp;tag=localclaw-20 | https://www.amazon.com/s?k=RTX+3060+12GB&amp;tag=localclaw-20
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=RTX+4060+Ti+16GB&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=RTX+4060+Ti+16GB&amp;tag=localclaw-20 | https://www.amazon.com/s?k=RTX+4060+Ti+16GB&amp;tag=localclaw-20
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=RTX+5060+Ti+16GB&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=RTX+5060+Ti+16GB&amp;tag=localclaw-20 | https://www.amazon.com/s?k=RTX+5060+Ti+16GB&amp;tag=localclaw-20
ram-gpu-for-local-ai.html,https://localclaw.io/go/amazon?q=RTX+4070+Ti+SUPER+16GB&family=gpuram&source=ram_gpu_page,200,True,https://www.amazon.de/s?k=RTX+4070+Ti+SUPER+16GB&amp;tag=localclaw-20 | https://www.amazon.com/s?k=RTX+4070+Ti+SUPER+16GB&amp;tag=localclaw-20
